"date","deviceCategory","sessions","totalUsers","bounceRate","userEngagementDuration","screenPageViews"
"20260527","desktop","882","744","54.88","34395","1722"
"20260527","mobile","8877","7840","48.41","231690","14933"
"20260527","tablet","30","29","50","1102","64"
"20260528","desktop","1007","893","54.52","32395","1741"
"20260528","mobile","9582","8517","45.21","275348","16467"
"20260528","tablet","44","42","70.45","255","51"
"20260529","desktop","883","768","43.49","36365","2635"
"20260529","mobile","9742","8373","48.87","246911","15822"
"20260529","tablet","23","20","69.57","123","30"
"20260530","desktop","525","426","45.71","31130","1214"
"20260530","mobile","9257","8119","44.6","251517","15354"
"20260530","tablet","27","24","55.56","413","37"
"20260531","desktop","277","222","51.26","14064","887"
"20260531","mobile","7649","6622","47.54","251836","13364"
"20260531","tablet","20","19","25","2470","83"
"20260601","desktop","1007","864","42.4","36980","1749"
"20260601","mobile","9436","8120","47.24","276851","15658"
"20260601","tablet","19","17","52.63","167","25"
"20260602","desktop","730","571","40.68","42606","1688"
"20260602","mobile","9802","8482","46.5","281482","16947"
"20260602","tablet","32","31","62.5","795","65"
"20260603","desktop","2326","2176","48.11","45186","3399"
"20260603","mobile","10560","9208","46.8","281738","17149"
"20260603","tablet","41","37","58.54","666","58"
"20260604","desktop","1810","1676","43.26","49855","3731"
"20260604","mobile","11427","9984","45.29","301650","18828"
"20260604","tablet","48","45","60.42","1172","68"
"20260605","desktop","900","773","44.44","44045","1662"
"20260605","mobile","11322","9844","46.14","311237","18786"
"20260605","tablet","36","33","61.11","468","54"
"20260606","desktop","742","639","44.07","29515","1348"
"20260606","mobile","11160","9936","45","321371","18911"
"20260606","tablet","29","28","48.28","1414","77"
"20260607","desktop","344","297","49.13","14146","568"
"20260607","mobile","11432","10120","45.48","332435","19718"
"20260607","tablet","41","41","53.66","1235","53"
"20260608","desktop","768","627","42.84","42403","1523"
"20260608","mobile","11160","9654","46.77","342113","19463"
"20260608","tablet","37","36","54.05","629","51"
"20260609","desktop","801","645","43.2","41464","1597"
"20260609","mobile","11346","9954","44.92","313172","19239"
"20260609","tablet","28","28","28.57","1395","80"
"20260610","desktop","1133","982","45.37","43009","2047"
"20260610","mobile","11841","10526","45.08","325074","20261"
"20260610","smart tv","1","1","0","0","1"
"20260610","tablet","27","27","48.15","630","41"
"20260611","desktop","1102","958","46.37","44165","1903"
"20260611","mobile","12568","11110","43.77","342801","20794"
"20260611","tablet","25","22","32","707","45"
"20260612","desktop","932","713","42.81","56573","2168"
"20260612","mobile","12162","10856","44.62","332731","19845"
"20260612","tablet","35","34","71.43","631","35"
"20260613","desktop","1056","870","46.69","70411","2149"
"20260613","mobile","11975","10860","43.12","344991","19959"
"20260613","tablet","32","31","50","868","48"
"20260614","desktop","607","556","52.88","23275","1215"
"20260614","mobile","12329","11275","44.16","358779","20636"
"20260614","tablet","30","29","33.33","1484","77"
"20260615","desktop","1713","1446","46.23","70480","3281"
"20260615","mobile","11694","10492","44.87","351371","19328"
"20260615","tablet","20","19","50","311","26"
"20260616","desktop","1054","815","44.31","54867","2436"
"20260616","mobile","11737","10087","46.43","309461","18979"
"20260616","tablet","37","35","40.54","2534","113"
"20260617","desktop","1121","857","45.5","65895","2958"
"20260617","mobile","11579","10241","45.19","319419","19230"
"20260617","smart tv","1","1","100","0","1"
"20260617","tablet","36","36","44.44","2169","76"
"20260618","desktop","1145","882","47.16","51004","2477"
"20260618","mobile","11914","10729","44.71","301093","19606"
"20260618","tablet","32","30","56.25","2299","53"
"20260619","desktop","1174","946","46.25","59324","2582"
"20260619","mobile","12257","11101","44.7","316270","20462"
"20260619","tablet","36","35","61.11","610","60"
"20260620","desktop","1103","879","46.51","55943","2567"
"20260620","mobile","12152","10788","45.82","321726","19817"
"20260620","tablet","43","40","44.19","3304","77"
"20260621","desktop","554","453","47.65","35138","1643"
"20260621","mobile","11895","10719","46.73","298439","19394"
"20260621","tablet","23","23","65.22","136","34"
"20260622","desktop","1545","1306","42.98","49552","2798"
"20260622","mobile","11160","10113","47.78","279230","18472"
"20260622","tablet","25","24","56","303","33"
"20260623","desktop","1043","776","41.61","48567","2377"
"20260623","mobile","10422","9278","48.15","272235","17370"
"20260623","tablet","27","23","44.44","713","35"
"20260624","desktop","1104","850","41.85","62494","2606"
"20260624","mobile","10722","9511","47.36","283750","18006"
"20260624","tablet","32","31","53.12","721","47"
"20260625","desktop","1373","1126","41.22","65440","2917"
"20260625","mobile","12085","10850","47.23","323488","19899"
"20260625","tablet","45","44","57.78","895","82"
"20260626","desktop","1291","1081","43.3","54727","2861"
"20260626","mobile","12665","11103","49.3","351388","20448"
"20260626","tablet","39","36","56.41","902","75"
"20260627","desktop","1085","902","44.52","38628","1843"
"20260627","mobile","12385","10969","48.03","389811","20865"
"20260627","tablet","39","36","23.08","1275","72"
"20260628","desktop","491","440","40.33","16179","782"
"20260628","mobile","12780","11427","46.94","371777","21268"
"20260628","tablet","41","40","58.54","549","49"
"20260629","desktop","867","700","42.79","56674","2243"
"20260629","mobile","11361","10052","49.46","284864","18045"
"20260629","tablet","35","35","42.86","649","52"
"20260630","desktop","1395","1164","41.51","55283","2549"
"20260630","mobile","11510","10358","46.19","347255","19286"
"20260630","tablet","34","31","41.18","1243","51"
"20260701","desktop","1676","1436","38.37","65687","3207"
"20260701","mobile","11649","10251","46.66","336296","19353"
"20260701","tablet","39","38","69.23","126","43"
"20260702","desktop","1081","833","38.48","58178","2390"
"20260702","mobile","12078","10619","47.46","335971","19748"
"20260702","tablet","49","47","48.98","2133","96"
"20260703","desktop","1560","1351","40.06","50037","2705"
"20260703","mobile","12240","10887","46.4","344808","20371"
"20260703","tablet","45","32","33.33","2729","122"
"20260704","desktop","795","640","37.11","45125","1766"
"20260704","mobile","11155","9951","46.07","323349","18707"
"20260704","tablet","35","33","48.57","550","67"
"20260705","desktop","375","319","42.4","18518","743"
"20260705","mobile","12184","10771","47.99","343324","20383"
"20260705","tablet","45","43","73.33","218","52"
"20260706","desktop","667","522","40.18","43838","1615"
"20260706","mobile","11464","10234","48.1","330779","19212"
"20260706","tablet","40","40","57.5","778","60"
"20260707","desktop","894","686","42.73","60269","2123"
"20260707","mobile","12067","10390","48.95","316185","19256"
"20260707","tablet","38","38","71.05","1180","63"
"20260708","desktop","1582","1362","38.94","56945","2909"
"20260708","mobile","12281","11101","47.24","329095","20277"
"20260708","tablet","36","34","58.33","1669","65"
"20260709","desktop","1944","1742","38.58","64235","2983"
"20260709","mobile","14150","12441","46.01","361426","22179"
"20260709","tablet","42","41","54.76","2017","88"
"20260710","desktop","1094","845","43.78","77755","2789"
