"date","device","event","events"
"20260527","desktop","add_to_cart","7"
"20260527","desktop","begin_checkout","6"
"20260527","desktop","view_item","837"
"20260527","mobile","add_payment_info","3"
"20260527","mobile","add_shipping_info","14"
"20260527","mobile","add_to_cart","184"
"20260527","mobile","begin_checkout","60"
"20260527","mobile","signup","28"
"20260527","mobile","view_item","9403"
"20260527","tablet","add_to_cart","1"
"20260527","tablet","view_item","34"
"20260528","desktop","add_to_cart","6"
"20260528","desktop","begin_checkout","1"
"20260528","desktop","signup","1"
"20260528","desktop","view_item","824"
"20260528","mobile","add_payment_info","4"
"20260528","mobile","add_shipping_info","29"
"20260528","mobile","add_to_cart","271"
"20260528","mobile","begin_checkout","97"
"20260528","mobile","purchase","2"
"20260528","mobile","signup","36"
"20260528","mobile","view_item","10709"
"20260528","tablet","add_to_cart","2"
"20260528","tablet","begin_checkout","1"
"20260528","tablet","view_item","26"
"20260529","desktop","add_shipping_info","2"
"20260529","desktop","add_to_cart","23"
"20260529","desktop","begin_checkout","19"
"20260529","desktop","signup","1"
"20260529","desktop","view_item","1468"
"20260529","mobile","add_payment_info","9"
"20260529","mobile","add_shipping_info","26"
"20260529","mobile","add_to_cart","270"
"20260529","mobile","begin_checkout","99"
"20260529","mobile","purchase","1"
"20260529","mobile","signup","34"
"20260529","mobile","view_item","10301"
"20260529","tablet","view_item","22"
"20260530","desktop","add_payment_info","4"
"20260530","desktop","add_shipping_info","6"
"20260530","desktop","add_to_cart","5"
"20260530","desktop","begin_checkout","2"
"20260530","desktop","signup","1"
"20260530","desktop","view_item","658"
"20260530","mobile","add_payment_info","3"
"20260530","mobile","add_shipping_info","10"
"20260530","mobile","add_to_cart","180"
"20260530","mobile","begin_checkout","18"
"20260530","mobile","signup","17"
"20260530","mobile","view_item","10089"
"20260530","tablet","view_item","25"
"20260531","desktop","add_to_cart","3"
"20260531","desktop","signup","1"
"20260531","desktop","view_item","244"
"20260531","mobile","add_to_cart","184"
"20260531","mobile","begin_checkout","5"
"20260531","mobile","signup","15"
"20260531","mobile","view_item","8337"
"20260531","tablet","add_to_cart","2"
"20260531","tablet","view_item","38"
"20260601","desktop","add_to_cart","3"
"20260601","desktop","view_item","1062"
"20260601","mobile","add_payment_info","2"
"20260601","mobile","add_shipping_info","4"
"20260601","mobile","add_to_cart","257"
"20260601","mobile","begin_checkout","41"
"20260601","mobile","signup","24"
"20260601","mobile","view_item","10572"
"20260601","tablet","add_to_cart","1"
"20260601","tablet","view_item","15"
"20260602","desktop","add_shipping_info","2"
"20260602","desktop","add_to_cart","20"
"20260602","desktop","begin_checkout","9"
"20260602","desktop","signup","3"
"20260602","desktop","view_item","1008"
"20260602","mobile","add_payment_info","13"
"20260602","mobile","add_shipping_info","22"
"20260602","mobile","add_to_cart","296"
"20260602","mobile","begin_checkout","70"
"20260602","mobile","purchase","2"
"20260602","mobile","signup","28"
"20260602","mobile","view_item","13135"
"20260602","tablet","add_to_cart","1"
"20260602","tablet","view_item","44"
"20260603","desktop","add_shipping_info","2"
"20260603","desktop","add_to_cart","9"
"20260603","desktop","begin_checkout","3"
"20260603","desktop","signup","4"
"20260603","desktop","view_item","2762"
"20260603","mobile","add_payment_info","14"
"20260603","mobile","add_shipping_info","15"
"20260603","mobile","add_to_cart","265"
"20260603","mobile","begin_checkout","70"
"20260603","mobile","purchase","1"
"20260603","mobile","signup","20"
"20260603","mobile","view_item","13577"
"20260603","tablet","view_item","38"
"20260604","desktop","add_shipping_info","3"
"20260604","desktop","add_to_cart","24"
"20260604","desktop","begin_checkout","42"
"20260604","desktop","signup","2"
"20260604","desktop","view_item","2879"
"20260604","mobile","add_payment_info","9"
"20260604","mobile","add_shipping_info","10"
"20260604","mobile","add_to_cart","360"
"20260604","mobile","begin_checkout","54"
"20260604","mobile","purchase","1"
"20260604","mobile","signup","44"
"20260604","mobile","view_item","14898"
"20260604","tablet","add_to_cart","1"
"20260604","tablet","view_item","47"
"20260605","desktop","add_payment_info","2"
"20260605","desktop","add_shipping_info","2"
"20260605","desktop","add_to_cart","11"
"20260605","desktop","begin_checkout","2"
"20260605","desktop","signup","5"
"20260605","desktop","view_item","1476"
"20260605","mobile","add_payment_info","22"
"20260605","mobile","add_shipping_info","19"
"20260605","mobile","add_to_cart","853"
"20260605","mobile","begin_checkout","62"
"20260605","mobile","purchase","4"
"20260605","mobile","signup","47"
"20260605","mobile","view_item","15180"
"20260605","tablet","view_item","33"
"20260606","desktop","add_to_cart","9"
"20260606","desktop","view_item","903"
"20260606","mobile","add_payment_info","2"
"20260606","mobile","add_shipping_info","6"
"20260606","mobile","add_to_cart","321"
"20260606","mobile","begin_checkout","51"
"20260606","mobile","purchase","1"
"20260606","mobile","signup","29"
"20260606","mobile","view_item","14981"
"20260606","tablet","add_to_cart","1"
"20260606","tablet","view_item","44"
"20260607","desktop","add_to_cart","2"
"20260607","desktop","signup","1"
"20260607","desktop","view_item","329"
"20260607","mobile","add_payment_info","39"
"20260607","mobile","add_shipping_info","38"
"20260607","mobile","add_to_cart","427"
"20260607","mobile","begin_checkout","122"
"20260607","mobile","purchase","3"
"20260607","mobile","signup","63"
"20260607","mobile","view_item","15723"
"20260607","tablet","view_item","41"
