"date","pagePath","deviceCategory","sessions","engagedSessions","engagementRate","avgSessionDuration","pagesPerSession","newUsers","totalUsers","bounceRate"
"2026-06-29","/","desktop","223","139","62.33","141.9","1.25","86","180","37.67"
"2026-06-29","/","mobile","1668","676","40.53","59.5","1.18","1000","1572","59.47"
"2026-06-29","/checkout/cart","desktop","12","12","100.00","293.2","3.50","1","11","0.00"
"2026-06-29","/checkout/cart","mobile","295","288","97.63","67.1","1.29","2","271","2.37"
"2026-06-29","/collections/all-rings","desktop","5","2","40.00","6.1","1.00","2","5","60.00"
"2026-06-29","/collections/all-rings","mobile","272","84","30.88","31.6","1.10","147","267","69.12"
"2026-06-29","/collections/eterna","desktop","2","1","50.00","6.7","0.50","0","1","50.00"
"2026-06-29","/collections/eterna","mobile","4","4","100.00","12.1","1.00","0","2","0.00"
"2026-06-29","/products/corinthian-pave-diamond-mens-ring","desktop","1","1","100.00","0.0","1.00","0","1","0.00"
"2026-06-29","/products/corinthian-pave-diamond-mens-ring","mobile","29","22","75.86","64.9","1.31","18","27","24.14"
"2026-06-29","/products/paramount-pave-diamond-mens-ring","desktop","10","6","60.00","45.0","1.10","5","9","40.00"
"2026-06-29","/products/paramount-pave-diamond-mens-ring","mobile","322","195","60.56","70.6","1.22","230","310","39.44"
"2026-06-30","/","desktop","231","151","65.37","132.7","1.16","67","175","34.63"
"2026-06-30","/","mobile","1662","817","49.16","71.2","1.25","900","1536","50.84"
"2026-06-30","/checkout/cart","desktop","16","14","87.50","137.0","1.50","1","14","12.50"
"2026-06-30","/checkout/cart","mobile","329","322","97.87","59.8","1.40","5","297","2.13"
"2026-06-30","/collections/all-rings","desktop","2","2","100.00","166.6","2.50","0","1","0.00"
"2026-06-30","/collections/all-rings","mobile","240","75","31.25","36.0","1.12","130","237","68.75"
"2026-06-30","/collections/eterna","desktop","3","2","66.67","92.5","1.00","2","3","33.33"
"2026-06-30","/collections/eterna","mobile","5","5","100.00","42.0","1.20","0","5","0.00"
"2026-06-30","/products/corinthian-pave-diamond-mens-ring","mobile","53","35","66.04","72.6","1.19","30","51","33.96"
"2026-06-30","/products/paramount-pave-diamond-mens-ring","desktop","7","5","71.43","85.6","1.00","5","6","28.57"
